id,code,name,district_id
189,MMR010008,Pyinoolwin,57
190,MMR010009,Madaya,57
191,MMR010010,Singu,57
192,MMR010011,Mogoke,57
193,MMR010012,Thabeikkyin,57
194,MMR010012702,Takaung,57
195,MMR010013,Kyaukse,21
196,MMR010014,Sintgaing,21
197,MMR010015,Myittha,21
198,MMR010016,Tada-U,21
199,MMR010017,Myingyan,47
200,MMR010018,Taungtha,47
201,MMR010019,Natogyi,47
202,MMR010020,Kyaukpadaung,47
203,MMR010021,Ngazun,47
204,MMR010022,Nyaung-U,51
205,MMR010022703,Ngathayauk,51
206,MMR010023,Yamethin,69
207,MMR010024,Pyawbwe,69
208,MMR010028,Meiktila,35
209,MMR010029,Mahlaing,35
210,MMR010030,Thazi,35
211,MMR010031,Wundwin,35
212,MMR011001,Mawlamyine,34
213,MMR011002,Kyaikmaraw,34
214,MMR011003,Chaungzon,34
215,MMR011004,Thanbyuzayat,34
216,MMR011005,Mudon,34
217,MMR011006,Ye,34
218,MMR011006702,Lamaing,34
219,MMR011006703,Khawzar,34
220,MMR011007,Thaton,66
221,MMR011008,Paung,66
222,MMR011009,Kyaikto,66
223,MMR011010,Bilin,66
224,MMR012001,Sittwe,60
225,MMR012002,Ponnagyun,60
226,MMR012007,Pauktaw,60
227,MMR012008,Rathedaung,60
228,MMR012003,Mrauk-U,42
229,MMR012004,Kyauktaw,42
230,MMR012005,Minbya,42
231,MMR012006,Myebon,42
232,MMR012009,Maungdaw,32
233,MMR012010,Buthidaung,32
234,MMR012009702,Taungpyoletwea,32
235,MMR012011,Kyaukpyu,20
236,MMR012012,Munaung,20
237,MMR012013,Ramree,20
238,MMR012014,Ann,20
239,MMR012015,Thandwe,65
240,MMR012016,Toungup,65
241,MMR012017,Gwa,65
242,MMR012016702,"Ma-Ei ",65
243,MMR012017702,Kyeintali,65
244,MMR013001,Insein,71
245,MMR013002,Mingaladon,71
246,MMR013003,Hmawbi,71
247,MMR013004,Hlegu,71
248,MMR013005,Taikkyi,71
249,MMR013006,Htantabin,71
250,MMR013007,Shwepyithar,71
251,MMR013008,Hlaingtharya,71
252,MMR013009,Thingangyun,70
253,MMR013010,Yankin,70
254,MMR013011,"South Okkalapa",70
255,MMR013012,"North Okkalapa",70
256,MMR013013,Thaketa,70
257,MMR013014,Dawbon,70
258,MMR013015,Tamwe,70
