id,code,name,district_id,id,name,code,region_divisions_id,id,name,code
70,MMR005004,Shwebo,59,59,Shwebo,MMR005D002,12,12,Sagaing,SGG
71,MMR005005,Khin-U,59,59,Shwebo,MMR005D002,12,12,Sagaing,SGG
72,MMR005006,Wetlet,59,59,Shwebo,MMR005D002,12,12,Sagaing,SGG
73,MMR005007,Kanbalu,59,59,Shwebo,MMR005D002,12,12,Sagaing,SGG
74,MMR005008,Kyunhla,59,59,Shwebo,MMR005D002,12,12,Sagaing,SGG
75,MMR005009,Ye-U,59,59,Shwebo,MMR005D002,12,12,Sagaing,SGG
76,MMR005010,Tabayin,59,59,Shwebo,MMR005D002,12,12,Sagaing,SGG
77,MMR005011,Taze,59,59,Shwebo,MMR005D002,12,12,Sagaing,SGG
78,MMR005004702,"Kyauk Myaung",59,59,Shwebo,MMR005D002,12,12,Sagaing,SGG
79,MMR005012,Monywa,41,41,Monywa,MMR005D003,12,12,Sagaing,SGG
80,MMR005013,Budalin,41,41,Monywa,MMR005D003,12,12,Sagaing,SGG
81,MMR005014,Ayadaw,41,41,Monywa,MMR005D003,12,12,Sagaing,SGG
82,MMR005015,Chaung-U,41,41,Monywa,MMR005D003,12,12,Sagaing,SGG
83,MMR005020,Katha,14,14,Katha,MMR005D004,12,12,Sagaing,SGG
84,MMR005021,Indaw,14,14,Katha,MMR005D004,12,12,Sagaing,SGG
85,MMR005022,Tigyaing,14,14,Katha,MMR005D004,12,12,Sagaing,SGG
86,MMR005023,Banmauk,14,14,Katha,MMR005D004,12,12,Sagaing,SGG
87,MMR005024,Kawlin,14,14,Katha,MMR005D004,12,12,Sagaing,SGG
88,MMR005025,Wuntho,14,14,Katha,MMR005D004,12,12,Sagaing,SGG
89,MMR005026,Pinlebu,14,14,Katha,MMR005D004,12,12,Sagaing,SGG
90,MMR005027,Kale,13,13,Kale,MMR005D005,12,12,Sagaing,SGG
91,MMR005028,Kalewa,13,13,Kale,MMR005D005,12,12,Sagaing,SGG
92,MMR005029,Mingin,13,13,Kale,MMR005D005,12,12,Sagaing,SGG
93,MMR005030,Tamu,62,62,Tamu,MMR005D006,12,12,Sagaing,SGG
94,MMR005030702,Myothit(Tamu),62,62,Tamu,MMR005D006,12,12,Sagaing,SGG
95,MMR005030703,"Khampat ",62,62,Tamu,MMR005D006,12,12,Sagaing,SGG
96,MMR005031,Mawlaik,33,33,Mawlaik,MMR005D007,12,12,Sagaing,SGG
97,MMR005032,Paungbyin,33,33,Mawlaik,MMR005D007,12,12,Sagaing,SGG
98,MMR005033,Hkamti,9,9,Hkamti,MMR005D008,12,12,Sagaing,SGG
99,MMR005034,Homalin,9,9,Hkamti,MMR005D008,12,12,Sagaing,SGG
100,MMR005035,"Lay Shi",9,9,Hkamti,MMR005D008,12,12,Sagaing,SGG
101,MMR005036,Lahe,9,9,Hkamti,MMR005D008,12,12,Sagaing,SGG
102,MMR005037,Nanyun,9,9,Hkamti,MMR005D008,12,12,Sagaing,SGG
103,MMR005035702,"Mo Paing Lut ",9,9,Hkamti,MMR005D008,12,12,Sagaing,SGG
104,MMR005036703,"Sum Ma Rar",9,9,Hkamti,MMR005D008,12,12,Sagaing,SGG
105,MMR005036702,"Htan Par Kway",9,9,Hkamti,MMR005D008,12,12,Sagaing,SGG
106,MMR005037702,"Pansaung ",9,9,Hkamti,MMR005D008,12,12,Sagaing,SGG
107,MMR005037703,"Don Hee ",9,9,Hkamti,MMR005D008,12,12,Sagaing,SGG
108,MMR005016,Yinmabin,74,74,Yinmabin,MMR005D009,12,12,Sagaing,SGG
109,MMR005018,Salingyi,74,74,Yinmabin,MMR005D009,12,12,Sagaing,SGG
110,MMR005019,Pale,74,74,Yinmabin,MMR005D009,12,12,Sagaing,SGG
111,MMR005017,Kani,74,74,Yinmabin,MMR005D009,12,12,Sagaing,SGG
112,MMR006001,Dawei,4,4,Dawei,MMR006D001,14,14,Tanintharyi,TNI
113,MMR006002,Launglon,4,4,Dawei,MMR006D001,14,14,Tanintharyi,TNI
114,MMR006003,Thayetchaung,4,4,Dawei,MMR006D001,14,14,Tanintharyi,TNI
115,MMR006004,Yebyu,4,4,Dawei,MMR006D001,14,14,Tanintharyi,TNI
116,MMR006001702,Myitta,4,4,Dawei,MMR006D001,14,14,Tanintharyi,TNI
117,MMR006004702,"Kaleinaung ",4,4,Dawei,MMR006D001,14,14,Tanintharyi,TNI
118,MMR006005,Myeik,46,46,Myeik,MMR006D002,14,14,Tanintharyi,TNI
119,MMR006006,Kyunsu,46,46,Myeik,MMR006D002,14,14,Tanintharyi,TNI
120,MMR006007,Palaw,46,46,Myeik,MMR006D002,14,14,Tanintharyi,TNI
121,MMR006008,Tanintharyi,46,46,Myeik,MMR006D002,14,14,Tanintharyi,TNI
