code,name,code,name,code,name
MMR017014,Myaungmya,MMR017D003,Myaungmya,AYY,Ayeyarwady
MMR017017,Wakema,MMR017D003,Myaungmya,AYY,Ayeyarwady
MMR017015,Einme,MMR017D003,Myaungmya,AYY,Ayeyarwady
MMR017018,Mawlamyinegyun,MMR017D004,Labutta,AYY,Ayeyarwady
MMR017016,Labutta,MMR017D004,Labutta,AYY,Ayeyarwady
MMR017016702,Pyinsalu,MMR017D004,Labutta,AYY,Ayeyarwady
MMR017012,Kyangin,MMR017D002,Hinthada,AYY,Ayeyarwady
MMR017009,Zalun,MMR017D002,Hinthada,AYY,Ayeyarwady
MMR017011,Myanaung,MMR017D002,Hinthada,AYY,Ayeyarwady
MMR017010,Lemyethna,MMR017D002,Hinthada,AYY,Ayeyarwady
MMR017008,Hinthada,MMR017D002,Hinthada,AYY,Ayeyarwady
MMR017013,Ingapu,MMR017D002,Hinthada,AYY,Ayeyarwady
MMR018003,Tatkon,MMR018D001,"Naypyitaw (North)",NPW,"Nay Pyi Taw"
MMR018001,"Zay Yar Thi Ri",MMR018D001,"Naypyitaw (North)",NPW,"Nay Pyi Taw"
MMR018008,"Oke Ta Ra Thi Ri",MMR018D001,"Naypyitaw (North)",NPW,"Nay Pyi Taw"
MMR018005,"Poke Ba Thi Ri",MMR018D001,"Naypyitaw (North)",NPW,"Nay Pyi Taw"
MMR018006,Pyinmana,MMR018D002,"Naypyitaw (South)",NPW,"Nay Pyi Taw"
MMR018007,Lewe,MMR018D002,"Naypyitaw (South)",NPW,"Nay Pyi Taw"
MMR018002,"Za Bu Thi Ri",MMR018D002,"Naypyitaw (South)",NPW,"Nay Pyi Taw"
MMR018004,"Det Khi Na Thi Ri ",MMR018D002,"Naypyitaw (South)",NPW,"Nay Pyi Taw"
