code,name,code,name,code,name
MMR005028,Kalewa,MMR005D005,Kale,SGG,Sagaing
MMR005029,Mingin,MMR005D005,Kale,SGG,Sagaing
MMR005030,Tamu,MMR005D006,Tamu,SGG,Sagaing
MMR005030702,Myothit(Tamu),MMR005D006,Tamu,SGG,Sagaing
MMR005030703,"Khampat ",MMR005D006,Tamu,SGG,Sagaing
MMR005031,Mawlaik,MMR005D007,Mawlaik,SGG,Sagaing
MMR005032,Paungbyin,MMR005D007,Mawlaik,SGG,Sagaing
MMR005033,Hkamti,MMR005D008,Hkamti,SGG,Sagaing
MMR005034,Homalin,MMR005D008,Hkamti,SGG,Sagaing
MMR005035,"Lay Shi",MMR005D008,Hkamti,SGG,Sagaing
MMR005036,Lahe,MMR005D008,Hkamti,SGG,Sagaing
MMR005037,Nanyun,MMR005D008,Hkamti,SGG,Sagaing
MMR005035702,"Mo Paing Lut ",MMR005D008,Hkamti,SGG,Sagaing
MMR005036703,"Sum Ma Rar",MMR005D008,Hkamti,SGG,Sagaing
MMR005036702,"Htan Par Kway",MMR005D008,Hkamti,SGG,Sagaing
MMR005037702,"Pansaung ",MMR005D008,Hkamti,SGG,Sagaing
MMR005037703,"Don Hee ",MMR005D008,Hkamti,SGG,Sagaing
MMR005016,Yinmabin,MMR005D009,Yinmabin,SGG,Sagaing
MMR005018,Salingyi,MMR005D009,Yinmabin,SGG,Sagaing
MMR005019,Pale,MMR005D009,Yinmabin,SGG,Sagaing
MMR005017,Kani,MMR005D009,Yinmabin,SGG,Sagaing
MMR006001,Dawei,MMR006D001,Dawei,TNI,Tanintharyi
MMR006002,Launglon,MMR006D001,Dawei,TNI,Tanintharyi
MMR006003,Thayetchaung,MMR006D001,Dawei,TNI,Tanintharyi
MMR006004,Yebyu,MMR006D001,Dawei,TNI,Tanintharyi
MMR006001702,Myitta,MMR006D001,Dawei,TNI,Tanintharyi
MMR006004702,"Kaleinaung ",MMR006D001,Dawei,TNI,Tanintharyi
MMR006005,Myeik,MMR006D002,Myeik,TNI,Tanintharyi
MMR006006,Kyunsu,MMR006D002,Myeik,TNI,Tanintharyi
MMR006007,Palaw,MMR006D002,Myeik,TNI,Tanintharyi
MMR006008,Tanintharyi,MMR006D002,Myeik,TNI,Tanintharyi
MMR006007702,"Palauk ",MMR006D002,Myeik,TNI,Tanintharyi
MMR006009,Kawthoung,MMR006D003,Kawthoung,TNI,Tanintharyi
MMR006010,Bokpyin,MMR006D003,Kawthoung,TNI,Tanintharyi
MMR006009702,"Khamaukgyi ",MMR006D003,Kawthoung,TNI,Tanintharyi
MMR006010702,"Pyigyimandaing ",MMR006D003,Kawthoung,TNI,Tanintharyi
MMR006010703,Karathuri,MMR006D003,Kawthoung,TNI,Tanintharyi
MMR007001,Bago,MMR007D001,Bago,BGO,Bago
MMR007002,Thanatpin,MMR007D001,Bago,BGO,Bago
MMR007003,Kawa,MMR007D001,Bago,BGO,Bago
MMR007004,Waw,MMR007D001,Bago,BGO,Bago
MMR007005,Nyaunglebin,MMR007D001,Bago,BGO,Bago
MMR007006,Kyauktaga,MMR007D001,Bago,BGO,Bago
MMR007007,Daik-U,MMR007D001,Bago,BGO,Bago
MMR007008,Shwegyin,MMR007D001,Bago,BGO,Bago
MMR007009,Taungoo,MMR007D002,Taungoo,BGO,Bago
MMR007010,Yedashe,MMR007D002,Taungoo,BGO,Bago
MMR007011,Kyaukkyi,MMR007D002,Taungoo,BGO,Bago
MMR007012,Phyu,MMR007D002,Taungoo,BGO,Bago
MMR007013,Oktwin,MMR007D002,Taungoo,BGO,Bago
MMR007014,Htantabin,MMR007D002,Taungoo,BGO,Bago
MMR008001,Pyay,MMR008D001,Pyay,BGO,Bago
MMR008002,Paukkhaung,MMR008D001,Pyay,BGO,Bago
MMR008003,Padaung,MMR008D001,Pyay,BGO,Bago
MMR008004,Paungde,MMR008D001,Pyay,BGO,Bago
MMR008005,Thegon,MMR008D001,Pyay,BGO,Bago
MMR008006,Shwedaung,MMR008D001,Pyay,BGO,Bago
MMR008007,Thayarwady,MMR008D002,Thayarwady,BGO,Bago
MMR008008,Letpadan,MMR008D002,Thayarwady,BGO,Bago
MMR008009,Minhla,MMR008D002,Thayarwady,BGO,Bago
MMR008010,Okpho,MMR008D002,Thayarwady,BGO,Bago
MMR008011,Zigon,MMR008D002,Thayarwady,BGO,Bago
MMR008012,Nattalin,MMR008D002,Thayarwady,BGO,Bago
MMR008013,Monyo,MMR008D002,Thayarwady,BGO,Bago
MMR008014,Gyobingauk,MMR008D002,Thayarwady,BGO,Bago
MMR009001,Magway,MMR009D001,Magway,MGY,Magway
MMR009002,Yenangyaung,MMR009D001,Magway,MGY,Magway
MMR009003,Chauk,MMR009D001,Magway,MGY,Magway
MMR009004,Taungdwingyi,MMR009D001,Magway,MGY,Magway
MMR009005,Myothit(Magway),MMR009D001,Magway,MGY,Magway
MMR009006,Natmauk,MMR009D001,Magway,MGY,Magway
MMR009007,Minbu,MMR009D002,Minbu,MGY,Magway
MMR009008,Pwintbyu,MMR009D002,Minbu,MGY,Magway
MMR009009,Ngape,MMR009D002,Minbu,MGY,Magway
MMR009010,Salin,MMR009D002,Minbu,MGY,Magway
MMR009011,Sidoktaya,MMR009D002,Minbu,MGY,Magway
MMR009012,Thayet,MMR009D003,Thayet,MGY,Magway
MMR009013,Minhla,MMR009D003,Thayet,MGY,Magway
MMR009014,Mindon,MMR009D003,Thayet,MGY,Magway
MMR009015,Kamma,MMR009D003,Thayet,MGY,Magway
MMR009016,Aunglan,MMR009D003,Thayet,MGY,Magway
MMR009017,Sinbaungwe,MMR009D003,Thayet,MGY,Magway
